Macro_Topic;Topic_Order;Micro_Topic;Level;Level_Name;Function_Name;Trap1_Message;Trap2_Message;Trap3_Message;Wrong_Message
Ułamki zwykłe;1;Zapisywanie;1;Dzielenie jako ułamek;frac_write_1;Odwróciłeś liczby! Pierwsza liczba (dzielna) zawsze wędruje na górę do licznika, a druga (dzielnik) na dół do mianownika.;Zsumowałeś liczby w mianowniku! Kreska ułamkowa to po prostu inny zapis znaku dzielenia, nie dodawania.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;2;Rozszerzanie i skracanie;1;Rozszerzanie przez liczbę;frac_exp_1;Pomnożyłeś tylko licznik! Przy rozszerzaniu musisz pomnożyć przez tę samą liczbę zarówno górę, jak i dół.;Pomnożyłeś tylko mianownik! Przy rozszerzaniu musisz pomnożyć przez tę samą liczbę zarówno górę, jak i dół.;Dodałeś liczbę zamiast pomnożyć! Rozszerzanie to zawsze mnożenie.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;2;Rozszerzanie i skracanie;2;Rozszerzanie do mianownika;frac_exp_2;Zapomniałeś pomnożyć licznik! Kiedy zmieniasz dół ułamka, musisz proporcjonalnie zmienić też górę.;Pomnożyłeś licznik przez złą liczbę. Sprawdź, ile razy zwiększył się mianownik i pomnóż górę przez to samo.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;2;Rozszerzanie i skracanie;3;Skracanie przez liczbę;frac_exp_3;Podzieliłeś tylko licznik! Przy skracaniu musisz podzielić przez tę samą liczbę zarówno górę, jak i dół.;Podzieliłeś tylko mianownik! Przy skracaniu musisz podzielić przez tę samą liczbę zarówno górę, jak i dół.;Odjąłeś liczbę zamiast podzielić! Skracanie to zawsze dzielenie.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;2;Rozszerzanie i skracanie;4;Postać nieskracalna;frac_exp_4;Twój ułamek jest skrócony, ale można go skrócić JESZCZE BARDZIEJ. Szukaj wspólnych dzielników aż do skutku!;Skróciłeś tylko dół! Pamiętaj o podzieleniu licznika.;Skróciłeś tylko górę! Pamiętaj o podzieleniu mianownika.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;3;Liczby mieszane;1;Zamiana na ułamek niewłaściwy;frac_imp_1;Pomnożyłeś licznik zamiast go dodać! Złota zasada: dół razy bok, PLUS góra.;Dodałeś wszystkie liczby do siebie! Pamiętaj: mianownik mnożymy przez całości, a potem dodajemy licznik.;Zmieniłeś mianownik! Mianownik przy zamianie zawsze pozostaje ten sam.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;3;Liczby mieszane;2;Wyłączanie całości;frac_imp_2;Gdzie podział się ułamek? Wyciągnąłeś całości poprawnie, ale zapomniałeś zapisać to, co zostało jako reszta.;Odwróciłeś ułamek! Mianownik zawsze zostaje ten sam, a reszta ląduje w liczniku.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;4;Porównywanie;1;Ten sam mianownik;frac_comp_1;Zły znak! Kiedy mianowniki są takie same, większy jest ten ułamek, który ma większy licznik.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;4;Porównywanie;2;Ten sam licznik;frac_comp_2;Zły znak! Kiedy liczniki są takie same, większy jest ten ułamek, który ma mniejszy mianownik (kawałki są większe!).;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;4;Porównywanie;3;Różne ułamki;frac_comp_3;Zły znak! Aby porównać te ułamki bezpiecznie, rozszerz je najpierw do wspólnego mianownika.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;5;Oś liczbowa;1;Jeden skok = 1/x;frac_number_line_1;Pomyłka! Zobacz na mianownik i policz wszystkie przerwy między 0 a 1. To jest twój "skok".;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;5;Oś liczbowa;2;Jeden skok to wielokrotność;frac_number_line_2;Ułamek skrócony niepoprawnie. Sprawdź, czy dobrze policzyłeś odległość!;Zapomniałeś skrócić ułamka na końcu.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;5;Oś liczbowa;3;Wskazywanie liczby mieszanej;frac_number_line_3;Zapomniałeś o całościach z przodu!;Źle policzyłeś "skoki" między całościami.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;5;Oś liczbowa;4;Trudne przedziały;frac_number_line_4;Pomyłka! Najpierw oblicz wartość jednego małego skoku.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;6;Dodawanie;1;Ten sam mianownik;frac_add_1;Dodałeś do siebie mianowniki! Przy dodawaniu ułamków mianownik ZAWSZE przepisujemy bez zmian.;Dodałeś liczniki, ale odjąłeś mianowniki! Mianownik pozostaje bez zmian.;Pomnożyłeś liczniki zamiast je dodać!;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;6;Dodawanie;2;Skracanie wyniku;frac_add_2;Twój wynik jest dobry, ale NIE JEST skrócony! Zawsze podawaj ułamek w najprostszej postaci.;Dodałeś mianowniki do siebie! Pamiętaj: mianownik przepisujemy, dodajemy tylko górę.;Skróciłeś źle! Pamiętaj, żeby podzielić górę i dół przez tę samą liczbę.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;6;Dodawanie;3;Liczby mieszane z wyłączaniem;frac_add_3;Zostawiłeś ułamek niewłaściwy! Jeśli licznik jest większy od mianownika, zamień go na kolejną całość.;Zapomniałeś dodać całości do siebie! Najpierw dodaj duże liczby z przodu, potem ułamki.;Dodałeś do siebie mianowniki! Mianownik zawsze przepisujemy.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;6;Dodawanie;4;Różne mianowniki - wstęp;frac_add_4;Dodałeś mianowniki! Zanim dodasz, musisz sprowadzić oba ułamki do wspolnego mianownika.;Rozszerzyłeś dół, ale zapomniałeś pomnożyć góry! Obie części ułamka muszą rosnąć proporcjonalnie.;Dodałeś bez wspólnego mianownika! Liczniki można dodać TYLKO wtedy, gdy doły są identyczne.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;6;Dodawanie;5;Różne mianowniki - zaawansowane;frac_add_5;Zły wspólny mianownik! Znajdź najmniejszą wspólną wielokrotność obu liczb z dołu.;Zapomniałeś dodać wielkie całości! Zrobiłeś trudną część z ułamkami, ale zgubiłeś liczby z przodu.;Nie wyciągnąłeś całości z wyniku! Na końcu powstał ułamek niewłaściwy.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;7;Odejmowanie;1;Ten sam mianownik;frac_sub_1;Odjąłeś od siebie mianowniki! Przy odejmowaniu ułamków mianownik ZAWSZE przepisujemy bez zmian.;Odjąłeś odwrotnie! Zawsze odejmuj drugą liczbę od pierwszej.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;7;Odejmowanie;2;Liczby mieszane;frac_sub_2;Odjąłeś ułamki, ale zapomniałeś odjąć od siebie całości (duże liczby z przodu)!;Odjąłeś całości, ale dodałeś ułamki! Pamiętaj, tu mamy odejmowanie.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;7;Odejmowanie;3;Zabieranie całości;frac_sub_3;Odjąłeś ułamek od całości tak, jakby był całością! Musisz "rozmienić" jedną całość na ułamek.;Źle rozmieniłeś całość! 1 całość to ułamek, który ma na górze i na dole tę samą liczbę (np. 5/5).;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;7;Odejmowanie;4;Zabieranie całości w liczbie mieszanej;frac_sub_4;Zgubiłeś "pożyczoną" całość! Kiedy rozmieniasz 1 całość na ułamek, musisz dodać go do tego ułamka, który już tam był.;Zapomniałeś, że pożyczyłeś! Musisz zmniejszyć liczbę całości o 1.;Odjąłeś ułamki w złą stronę (zamiast pożyczyć)! Nie wolno zamieniać kolejności odejmowania.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;7;Odejmowanie;5;Różne mianowniki;frac_sub_5;Odjąłeś mianowniki od siebie! Najpierw musisz znaleźć wspólny mianownik.;Rozszerzyłeś dół, ale zapomniałeś o górze! Mnożymy proporcjonalnie.;Zły znak! Najpierw sprowadź do wspólnego mianownika.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;8;Mnożenie przez liczbę;1;Mnożenie ułamka przez liczbę;frac_mult_num_1;Pomnożyłeś licznik ORAZ mianownik! Przy mnożeniu przez liczbę, mnożymy TYLKO licznik, mianownik zostaje.;Pomnożyłeś tylko mianownik! Liczba całkowita mnoży tylko górę ułamka.;Zamiast pomnożyć, dodałeś liczbę do licznika!;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;8;Mnożenie przez liczbę;2;Skracanie na krzyż z liczbą;frac_mult_num_2;Wynik jest dobry, ale nieskrócony! Przed mnożeniem spróbuj skrócić liczbę całkowitą z mianownikiem.;Skróciłeś ułamek przez złą liczbę!;Zamiast skrócić, pomnożyłeś liczbę przez mianownik! Pamiętaj, dół zawsze dzieli.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;8;Mnożenie przez liczbę;3;Mnożenie liczby mieszanej;frac_mult_num_3;Pomnożyłeś całości, ale ułamek zostawiłeś! Liczba z przodu mnoży i całości, i ułamek.;Najbezpieczniej jest zamienić liczbę mieszaną na ułamek niewłaściwy, a dopiero potem mnożyć!;Wciągnąłeś liczbę całkowitą na dół ułamka! Całości zostają u góry.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;9;Mnożenie ułamków;1;Proste mnożenie;frac_mult_1;Pomnożyłeś na krzyż! Przy mnożeniu ułamków zasada to: "Góra z górą, dół z dołem".;Zostawiłeś mianownik bez zmian! Tu się nie szuka wspólnego mianownika, tu się go mnoży!;Dodałeś zamiast pomnożyć!;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;9;Mnożenie ułamków;2;Skracanie na krzyż;frac_mult_2;Pominąłeś skracanie! Szukaj pary na krzyż (jeden z góry, jeden z dołu) do podzielenia przez tę samą liczbę.;Skróciłeś poziomo! Skracać wolno tylko górę z dołem (często na krzyż), nigdy dwa liczniki ze sobą.;Podałeś ułamek odwrotny!;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;9;Mnożenie ułamków;3;Mnożenie liczb mieszanych;frac_mult_3;Pomnożyłeś osobno całości i osobno ułamki! TO PUŁAPKA. Musisz najpierw zamienić wszystko na ułamki niewłaściwe.;Zapomniałeś wyciągnąć całości z wyniku na samym końcu.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;9;Mnożenie ułamków;4;Wielkie skracanie;frac_mult_4;Zapomniałeś skrócić! Przy dużych liczbach zawsze najpierw skracaj na krzyż, inaczej powstanie gigant.;Skróciłeś źle! Pamiętaj, że obie liczby na krzyż musisz podzielić przez TO SAMO.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;10;Dzielenie przez liczbę;1;Dzielenie licznika;frac_div_num_1;Podzieliłeś mianownik! Gdy ułamek dzielimy przez liczbę całkowitą, to dzielimy tylko licznik (jeśli się da).;Pomnożyłeś ułamek zamiast podzielić!;Dodałeś zamiast podzielić!;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;10;Dzielenie przez liczbę;2;Gdy licznik się nie dzieli;frac_div_num_2;Odwróciłeś pierwszy ułamek! Pierwszy zostaje bez zmian, mnożymy zawsze przez odwrotność drugiego (czyli z liczby robimy "1/liczba").;Podzieliłeś mianownik! W tym przypadku musisz pomnożyć mianownik przez tę liczbę całkowitą.;Zapomniałeś odwrócić drugą liczbę! Dzielenie to mnożenie przez ODWROTNOŚĆ.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;10;Dzielenie przez liczbę;3;Dzielenie liczby mieszanej;frac_div_num_3;Podzieliłeś tylko ułamek, a zapomniałeś o całościach!;Musisz ZAWSZE najpierw zamienić liczbę mieszaną na ułamek niewłaściwy, a dopiero potem odwracać do mnożenia.;Odwróciłeś pierwszy ułamek! Odwracamy ZAWSZE tylko drugą liczbę.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;11;Dzielenie ułamków;1;Proste odwracanie;frac_div_1;Zapomniałeś odwrócić! Dzielenie ułamków to to samo co MNOŻENIE pierwszego przez ODWROTNOŚĆ drugiego.;Odwróciłeś PIERWSZY ułamek zamiast drugiego! Zawsze kręci się tylko drugi ułamek.;Odwróciłeś oba ułamki na raz! Zostaw pierwszy w spokoju.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;11;Dzielenie ułamków;2;Odwracanie i skracanie;frac_div_2;Skróciłeś PRZED odwróceniem! Kategoryczny błąd. Najpierw obróć drugi ułamek i zmień znak na mnożenie, dopiero potem wolno skracać.;Zapomniałeś skrócić! Po odwróceniu szukaj wspólnych dzielników na krzyż.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;11;Dzielenie ułamków;3;Dzielenie z liczbami mieszanymi;frac_div_3;Najpierw bezwzględnie zamień wszystkie liczby na ułamki niewłaściwe. Dopiero potem obróć drugi ułamek!;Odwróciłeś tylko część ułamkową liczby mieszanej! Musisz wciągnąć całości do ułamka zanim go odwrócisz.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;12;Potęgowanie;1;Kwadrat ułamka;frac_pow_1;Potęgowanie to MNOŻENIE ułamka przez samego siebie, a nie mnożenie go przez 2!;Podniosłeś do kwadratu tylko górę! Musisz podnieść zarówno licznik, jak i mianownik.;Podniosłeś do kwadratu tylko dół! Pamiętaj o liczniku.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;12;Potęgowanie;2;Sześcian ułamka;frac_pow_2;Podniosłeś do trzeciej potęgi tylko górę! Licznik i mianownik trzeba potęgować osobno.;Pomnożyłeś przez 3! Do sześcianu oznacza liczbę mnożoną przez samą siebie TRZY RAZY.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;12;Potęgowanie;3;Potęgowanie liczby mieszanej;frac_pow_3;Podniosłeś do potęgi osobno całości i ułamek! BŁĄD. Zanim użyjesz potęgi, ZAWSZE wciągaj całości do ułamka niewłaściwego.;Pomnożyłeś przez 2 zamiast potęgować!;Zapomniałeś podnieść mianownik!;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;13;Kolejność wykonywania działań;1;Kolejność Podstawowa;frac_ord_1;Policzyłeś od lewej do prawej! Mnożenie i dzielenie mają pierwszeństwo.;Pomyliłeś mnożenie z dodawaniem we wszystkich liczbach.;Skupiłeś się na złym działaniu jako pierwszym.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki zwykłe;13;Kolejność wykonywania działań;2;Siła Nawiasów;frac_ord_2;Zignorowałeś nawias! Nawias zawsze idzie na pierwszy ogień.;Pomyliłeś znak poza nawiasem.;Pomnożyłeś lub podzieliłeś na krzyż bez rozwiązania nawiasu.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki zwykłe;13;Kolejność wykonywania działań;3;Dwa Zestawy;frac_ord_3;Zignorowałeś kolejność w jednym z dwóch zestawów liczb.;Wymnożyłeś/Podzieliłeś liczby z różnych nawiasów ze sobą!;Rozwiązałeś nawiasy, ale odjąłeś zamiast dodać (lub odwrotnie).;Przeanalizuj błąd i odzyskaj punkty!
Ułamki zwykłe;13;Kolejność wykonywania działań;4;Potęgi i Ułamki;frac_ord_4;Mnożenie przed potęgowaniem to błąd. Potęgowanie wygrywa!;Pominąłeś potęgowanie całkowicie.;Pomnożyłeś przez 2 zamiast podnieść licznik i mianownik do kwadratu.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki zwykłe;13;Kolejność wykonywania działań;5;Potęgowanie Nawiasu;frac_ord_5;Podniosłeś do kwadratu osobno obie liczby w nawiasie!;Pomnożyłeś nawias przez 2 zamiast go spotęgować.;Podniosłeś do potęgi na samym końcu zamiast na początku.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki zwykłe;13;Kolejność wykonywania działań;6;Boss Level;frac_ord_6;Wymnożyłeś najpierw ułamek przed nawiasem! 1. Nawias, 2. Potęga, 3. Mnożenie.;Pomnożyłeś nawias przez 2 zamiast potęgować.;Podniosłeś do kwadratu ułamki w nawiasie osobno zamiast zsumować.;Przeanalizuj błąd i odzyskaj punkty!
Ułamki zwykłe;14;Ułamek z liczby;1;Całości bez reszty;frac_frac_of_int_1;Ułamek z liczby to nic innego jak matematyczne MNOŻENIE. Zastąp słowo "z" kropeczką i pomnóż!;Zły mianownik.;Błąd mnożenia.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;14;Ułamek z liczby;2;Trudniejsze liczby;frac_frac_of_int_2;Najszybsza droga: najpierw PODZIEL liczbę całkowitą przez dół ułamka, a wynik POMNÓŻ przez górę!;Błąd skracania.;Złe mnożenie.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;14;Ułamek z liczby;3;Gdy wynik jest ułamkiem;frac_frac_of_int_3;Jeśli liczba się nie dzieli ładnie, to po prostu wciągnij ją na samą górę ułamka (pomnóż z licznikiem).;Podałeś odwrotność.;Złe mnożenie licznika.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki zwykłe;14;Ułamek z liczby;4;Ułamek z liczby mieszanej;frac_frac_of_int_4;Zamień ułamek na postać niewłaściwą zanim cokolwiek zrobisz.;Błąd skracania.;Błąd mnożenia.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;1;Zamiana ułamków;1;Z ułamka dziesiętnego na zwykły;dec_to_frac_1;Zły mianownik! Jedno miejsce po przecinku to 10 na dole. Dwa miejsca to 100, trzy to 1000. Policz zera!;Zapomniałeś o całościach z przodu!;Podałeś złą liczbę w liczniku. Wpisz dokładnie to samo co po przecinku.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;1;Zamiana ułamków;2;Ze zwykłego na dziesiętny (mianowniki 10, 100);dec_to_frac_2;Brakuje zera! Liczba zer w mianowniku to DOKŁADNIE liczba miejsc, które musisz zająć po przecinku.;Masz za dużo miejsc po przecinku. Spójrz na ilość zer na dole ułamka zwykłego.;Podałeś błędną cyfrę z licznika.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;1;Zamiana ułamków;3;Ze zwykłego na dziesiętny (rozszerzanie 2, 4, 5);dec_to_frac_3;Zanim zapiszesz przecinek, musisz rozszerzyć ułamek tak, aby na dole było 10, 100 lub 1000!;Zły wynik - zapomniałeś, by pomnożyć też górę!;Zły wynik - ułamek rozszerza się przez odpowiednią liczbę.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;1;Zamiana ułamków;4;Ze zwykłego na dziesiętny (dzielenie);dec_to_frac_4;Ten ułamek nie rozszerza się łatwo. Najlepszy sposób to po prostu podzielić pisemnie licznik przez mianownik (Góra ÷ Dół).;Błąd w dzieleniu.;Brak przecinka.;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;2;Porównywanie;1;Różne cyfry, te same pozycje;dec_compare_1;Spójrz najpierw na najwyższy rząd (całości, potem części dziesiąte). Cyfra z przodu ma zawsze największą wagę!;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;2;Porównywanie;2;Różna liczba miejsc po przecinku;dec_compare_2;Dałeś się złapać! "Dłuższa" liczba wcale nie jest większa. Dopisz niewidzialne zera na końcu, aby obie liczby miały tyle samo miejsc po przecinku, i porównaj jeszcze raz.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;2;Porównywanie;3;Zdradliwe zera;dec_compare_3;Pamiętaj, zero zaraz po przecinku jest bardzo ważne (zmniejsza ułamek), ale zera na samym końcu można wykreślić!;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;3;Oś liczbowa;1;Oś co 0.1;dec_number_line_1;Pomyłka! Zobacz na przedział i policz wszystkie przerwy. Każdy skok to jedna dziesiąta (0.1).;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;3;Oś liczbowa;2;Oś co 0.01;dec_number_line_2;Pomyłka! Jesteś między 0.1 a 0.2. Każdy mały skok to jedna setna (0.01).;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;3;Oś liczbowa;3;Oś co 0.2 lub podobne;dec_number_line_3;Uwaga! Odstępy na osi nie zawsze wynoszą 1. Zobacz ile kresek dzieli pełną jedność, by odkryć wielkość jednego małego skoku.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;3;Oś liczbowa;4;Duży odstęp;dec_number_line_4;Oblicz szerokość przedziału (np. 1.0 - 0.5) i podziel przez liczbę skoków (odstępów).;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;3;Oś liczbowa;5;Duży odstęp cz. 2;dec_number_line_5;Najpierw policz odstępy, później odejmij skrajne wartości, na końcu podziel.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;3;Oś liczbowa;6;Dziwne przedziały;dec_number_line_6;To bardzo podstępna oś. Ustal, ile wynosi dokładnie jeden skok.;;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
Ułamki dziesiętne;4;Zaokrąglanie;1;Do całości;dec_round_1;Zapomniałeś o regule "5 i więcej"! Spójrz na cyfrę po przecinku. Jeśli to 5, 6, 7, 8 lub 9, musisz powiększyć całość o jeden w górę.;Pomyłka! Jeśli cyfra to 4, 3, 2, 1, 0 - nic nie powiększamy, po prostu ucina się to, co jest za nią.;;Przeanalizuj błąd i odzyskaj punkty w kolejnym zadaniu!
